Trade ID,Date,Entry,Exit,Size,Stop Loss,Take Profit,PnL,Trade Result,R:R,Duration (mins),Exit Type,Direction,Risk %,RoR,Stop Distance,Event Type,Candle Count,Session,Symbol 1,Month,Day,Initial Balance,Account,Cumulative Equity,Entry Time,Absolute Daily PnL,Error,Profit Value,Loss Value,Duration (hrs),Peak Value,Multiplier,"Trade Model ",Trade Plan,"Market Conditions ",Psychological Factors	,Drawdown,Time Frame,Current Balance,Tag,Trade Plan Screenshot,Bias,Planned Entry,Planned SL,Planned TP,Planned RRR,Pre-Market Notes,Pre-Market Emotions,HTF Key Level Focus,Market Sentiment,Compliance Check,Events,Event Release Time,Market Reaction on News Release,Loss Indicator,Win Indicator,Ref: Events,Ref: Events Release Time,Trade Result Screenshot,Lesson Learned,Actionable Steps,Trade Performance Summary
Trade #1,09/03/2024,2503.341,2489.618,0.3,2507.496,2489.618,411.69,WIN,3.3,120,Target Hit,SELL,0.17,54.818740235549,4.155,Business Survey (https://www.notion.so/Business-Survey-199b632af1108190a995dfd43e2a060e?pvs=21),8,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),100411.69,9:30 am,411.69,,411.69,0,2,100411.69,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),1 (https://www.notion.so/1-199b632af110810f9db6c8467fbe3494?pvs=21),Bullish,,0,15m,100000.37,Prop Firms,,,,,,0,,,,,Did Not Follow Plan,ISM Manufacturing PMI,10:00 am,,0,1,ISM Manufacturing PMI,10:00 am,,,"• Review and adjust your trading plan to ensure alignment with your strategies.
• Analyze emotional triggers to enhance decision-making discipline.
• Identify potential entry and exit points for future trades to improve execution.","📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2503.34
Exit Price: $2489.62
P/L: $411.69
Trade Model: @Gap Guardian (Live)
Date: 09/03/2024"
Trade #2,09/04/2024,2478.75,2499.22,0.3,2471.93,2499.22,614.1,WIN,3,270,,BUY,0.28,82.581946545638,6.82,,18,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),101025.79,9:45am,614.1,,614.1,0,4.5,101025.79,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),2 (https://www.notion.so/2-199b632af1108177a7b4d80245a2748b?pvs=21),Bullish,,0,15m,100000.37,Prop Firms,,,,,,0,,,,,Did Not Follow Plan,JOLTS Job Openings,10:00 am,,0,1,JOLTS Job Openings,10:00 am,,,"• Review and refine your trading plan to enhance adherence during trades.
• Analyze emotional triggers to improve decision-making under stress.
• Identify better entry and exit points for future trades.","📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2478.75
Exit Price: $2499.22
P/L: $614.1
Trade Model: @Gap Guardian (Live)
Date: 09/04/2024"
Trade #3,09/05/2024,2517.4,2524.4,0.3,2524.4,2496.43,-210,LOSS,3,105,,SELL,0.28,-27.806466989751,7,,7,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),100815.79,10:30 am,210,Early Exit (https://www.notion.so/Early-Exit-1a1b632af11080faa612c1c1eae166e1?pvs=21),0,-210,1.75,101025.79,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),3 (https://www.notion.so/3-199b632af1108168ab6fe0f7ac8783e8?pvs=21),Bearish,,-0.002078677138,15m,100000.37,Prop Firms,,,,,,0,,,,,Did Not Follow Plan,"ADP Non-Farm Employment Change,ISM Services PMI,Unemployment Claims","10:00 am,8:15 am,8:30 am",,1,0,"ADP Non-Farm Employment Change,Unemployment Claims,ISM Services PMI","8:15 am,8:30 am,10:00 am",,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2517.4
Exit Price: $2524.4
P/L: $-210
Trade Model: @Gap Guardian (Live)
Date: 09/05/2024"
Trade #4,09/10/2024,2503.21,2512.98,0.3,2500.04,2512.98,293.1,WIN,3.08,180,,BUY,0.13,39.029885626855,3.17,,12,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),101108.89,9:45 am,293.1,,293.1,0,3,101108.89,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,Consolidation,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,"• Review and adjust your trading plan based on recent trade outcomes.
• Practice disciplined decision-making to manage emotions better.
• Identify patterns in trades to refine your strategy.","📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2503.21
Exit Price: $2512.98
P/L: $293.1
Trade Model: @Gap Guardian (Live)
Date: 09/10/2024"
Trade #5,09/11/2024,2521.54,2504.67,0.3,2527.15,2504.67,506.1,WIN,3.01,120,,SELL,0.22,66.903558936206,5.61,,8,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),101614.99,10:30 am,506.1,,506.1,0,2,101614.99,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2521.54
Exit Price: $2504.67
P/L: $506.1
Trade Model: @Gap Guardian (Live)
Date: 09/11/2024"
Trade #6,09/12/2024,2514.53,2524.87,0.3,2511.08,2524.87,310.2,WIN,3,105,,BUY,0.14,41.121004720564,3.45,,7,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),101925.19,10:30 am,310.2,,310.2,0,1.75,101925.19,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2514.53
Exit Price: $2524.87
P/L: $310.2
Trade Model: @Gap Guardian (Live)
Date: 09/12/2024"
Trade #7,09/17/2024,2574.29,2563.86,0.3,2563.86,2605.65,-312.9,LOSS,3.01,345,,BUY,0.41,-40.516025777981,10.43,,23,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),101612.29,9:45 am,312.9,Late Entry (https://www.notion.so/Late-Entry-1a1b632af11080fcae34e4a94aac29ca?pvs=21),0,-312.9,5.75,101925.19,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,-0.003069898619,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,1,0,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2574.29
Exit Price: $2563.86
P/L: $-312.9
Trade Model: @Gap Guardian (Live)
Date: 09/17/2024"
Trade #8,09/18/2024,2571.11,2579.37,0.3,2568.36,2579.37,247.8,WIN,3,90,,BUY,0.11,32.12620230173,2.75,,6,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),101860.09,10:00 am,247.8,,247.8,0,1.5,101925.19,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,-0.000638703739,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2571.11
Exit Price: $2579.37
P/L: $247.8
Trade Model: @Gap Guardian (Live)
Date: 09/18/2024"
Trade #9,09/19/2024,2592.78,2571.25,0.3,2599.78,2571.25,645.9,WIN,3.08,255,,SELL,0.27,83.038283232669,7,,17,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),102505.99,9:30 am,645.9,,645.9,0,4.25,102505.99,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2592.78
Exit Price: $2571.25
P/L: $645.9
Trade Model: @Gap Guardian (Live)
Date: 09/19/2024"
Trade #10,09/24/2024,2636,2624.23,0.3,2639.9,2624.23,353.1,WIN,3.02,75,Target Hit,SELL,0.15,44.650986342944,3.9,,5,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),102859.09,10:30 am,353.1,,353.1,0,1.25,102859.09,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2636
Exit Price: $2624.23
P/L: $353.1
Trade Model: @Gap Guardian (Live)
Date: 09/24/2024"
