Trade ID,Date,Entry Time,Size,Entry,Take Profit,Stop Loss,Exit,Candle Count,Exit Type,"Trade Model ",Cumulative Equity,Tag,Trade Result Screenshot,Duration (mins),PnL,Trade Result,Direction,Day,Account,R:R,Win Indicator,Loss Indicator,Psychological Factors	,Lesson Learned,Time Frame,Bias,Current Balance,Compliance Check,Event Release Time,Events,HTF Key Level Focus,Initial Balance,Market Reaction on News Release,Market Sentiment,Planned Entry,Planned RRR,Planned SL,Planned TP,Pre-Market Emotions,Pre-Market Notes,Trade Plan,Trade Plan Screenshot,Actionable Steps,Event Type,"Market Conditions ",Ref: Events,Ref: Events Release Time,Risk %,Session,Duration (hrs),RoR,Stop Distance,Trade Performance Summary,Drawdown,Peak Value,Absolute Daily PnL,Error,Loss Value,Month,Multiplier,Profit Value,Symbol 1
Trade #78,02/27/2025,10:10 am,0.3,2877.044,2851.582,2885.511,2851.582,45,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),128520.1,Prop Firms,,675,763.86,WIN,SELL,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.01,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.29,NY am,11.25,88.500558211831,8.467,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2877.04
Exit Price: $2851.58
P/L: $763.86
Trade Model: @Gap Guardian (Live)
Date: 02/27/2025",0,128520.1,763.86,,0,February,100,763.86,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #77,02/26/2025,9:30 am,0.3,2901.284,2919.869,2895.144,2919.869,30,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),127756.24,Prop Firms,,450,557.55,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.03,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.21,NY am,7.5,64.057844733573,6.14,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2901.28
Exit Price: $2919.87
P/L: $557.55
Trade Model: @Gap Guardian (Live)
Date: 02/26/2025",0,127756.24,557.55,,0,February,100,557.55,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #76,02/25/2025,9:30 am,0.3,2943.05,2929.193,2947.645,2929.193,3,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),127198.69,Prop Firms,,45,415.71,WIN,SELL,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.02,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.16,NY am,0.75,47.08380761455,4.595,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2943.05
Exit Price: $2929.19
P/L: $415.71
Trade Model: @Gap Guardian (Live)
Date: 02/25/2025",0,127198.69,415.71,,0,February,100,415.71,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #75,02/20/2025,10:00 am,0.3,2932.75,2942.987,2929.337,2942.987,6,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),126782.98,Prop Firms,,90,307.11,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.12,NY am,1.5,34.905805131702,3.413,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2932.75
Exit Price: $2942.99
P/L: $307.11
Trade Model: @Gap Guardian (Live)
Date: 02/20/2025",0,126782.98,307.11,,0,February,100,307.11,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #74,02/19/2025,9:45 am,0.3,2939.726,2933.688,2941.739,2933.688,3,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),126475.87,Prop Firms,,45,181.14,WIN,SELL,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.07,NY am,0.75,20.539329175576,2.013,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2939.73
Exit Price: $2933.69
P/L: $181.14
Trade Model: @Gap Guardian (Live)
Date: 02/19/2025",0,126475.87,181.14,,0,February,100,181.14,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #73,02/18/2025,9:30 am,0.3,2922.479,2929.845,2920.022,2929.845,9,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),126294.73,Prop Firms,,135,220.98,WIN,BUY,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.08,NY am,2.25,25.204629357474,2.457,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2922.48
Exit Price: $2929.85
P/L: $220.98
Trade Model: @Gap Guardian (Live)
Date: 02/18/2025",0,126294.73,220.98,,0,February,100,220.98,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #72,02/13/2025,9:45 am,0.3,2913.767,2927.164,2909.298,2927.164,19,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),126073.75,Prop Firms,,285,401.91,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.15,NY am,4.75,45.978281722595,4.469,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2913.77
Exit Price: $2927.16
P/L: $401.91
Trade Model: @Gap Guardian (Live)
Date: 02/13/2025",0,126073.75,401.91,,0,February,100,401.91,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #71,02/12/2025,9:45 am,0.3,2890.293,2914.614,2882.214,2914.614,46,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),125671.84,Prop Firms,,690,729.63,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.01,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.28,NY am,11.5,84.147178158062,8.079,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2890.29
Exit Price: $2914.61
P/L: $729.63
Trade Model: @Gap Guardian (Live)
Date: 02/12/2025",0,125671.84,729.63,,0,February,100,729.63,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #70,02/11/2025,9:30 am,0.3,2902.032,2885.813,2907.439,2907.439,7,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),124942.21,Prop Firms,,105,-162.21,LOSS,SELL,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,0,1,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.19,NY am,1.75,-18.631772495961,5.407,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2902.03
Exit Price: $2907.44
P/L: $-162.21
Trade Model: @Gap Guardian (Live)
Date: 02/11/2025",-0.001296596875,125104.42,162.21,Did Not Plan (https://www.notion.so/Did-Not-Plan-1a1b632af110804db647db8c4986825a?pvs=21),-162.21,February,100,0,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #69,02/06/2025,9:30 am,0.3,2857.86,2836.181,2865.087,2836.181,4,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),125104.42,Prop Firms,,60,650.37,WIN,SELL,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.25,NY am,1,75.857459777596,7.227,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2857.86
Exit Price: $2836.18
P/L: $650.37
Trade Model: @Gap Guardian (Live)
Date: 02/06/2025",0,125104.42,650.37,,0,February,100,650.37,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #68,02/05/2025,9:45 am,0.3,2866.006,2877.883,2862.047,2877.883,4,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),124454.05,Prop Firms,,60,356.31,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.14,NY am,1,41.440946041285,3.959,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2866.01
Exit Price: $2877.88
P/L: $356.31
Trade Model: @Gap Guardian (Live)
Date: 02/05/2025",0,124454.05,356.31,,0,February,100,356.31,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
